tau,diff_Eeta_variance
22.04285294980922,0.0
22.07220428529498,0.0
22.10155562078075,0.0
22.130906956266514,0.0
22.160258291752275,0.0
22.18960962723804,0.0
22.21896096272381,0.0
22.24831229820957,0.0
22.277663633695333,0.0
22.307014969181097,0.0
22.336366304666864,0.0
22.365717640152628,0.0
22.39506897563839,0.0
22.42442031112416,0.0
22.453771646609923,0.0
22.483122982095686,0.0
22.51247431758145,0.0
22.541825653067217,0.0
22.57117698855298,0.0
22.600528324038745,0.0
22.62987965952451,0.0
22.659230995010276,0.0
22.68858233049604,0.0
22.717933665981803,0.0
22.74728500146757,0.0
22.776636336953334,0.0
22.805987672439098,0.0
22.835339007924862,0.0
22.86469034341063,0.0
22.894041678896393,0.0
22.923393014382157,0.0
22.95274434986792,0.0
22.982095685353688,0.0
23.01144702083945,0.0
23.040798356325215,0.0
23.07014969181098,0.0
23.099501027296746,0.0
23.12885236278251,0.0
23.158203698268274,0.0
23.187555033754037,0.0
23.216906369239805,0.0
23.24625770472557,0.0
23.275609040211332,0.0
23.3049603756971,0.0
23.334311711182863,0.0
23.363663046668627,0.0
23.39301438215439,0.0
23.422365717640158,0.0
23.451717053125922,0.0
23.481068388611686,0.0
23.510419724097446,0.0
23.539771059583217,0.0
23.56912239506898,0.0
23.59847373055474,0.0
23.627825066040504,0.0
23.657176401526275,0.0
23.686527737012035,0.0
23.7158790724978,0.0
23.745230407983563,0.0
23.77458174346933,0.0
23.803933078955094,0.0
23.833284414440858,0.0
23.86263574992662,0.0
23.89198708541239,0.0
23.921338420898152,0.0
23.950689756383916,0.0
23.98004109186968,0.0
24.009392427355447,0.0
24.03874376284121,0.0
24.068095098326975,0.0
24.09744643381274,0.0
24.126797769298506,0.0
24.15614910478427,0.0
24.185500440270033,0.0
24.214851775755797,0.0
24.244203111241564,0.0
24.273554446727328,0.0
24.30290578221309,0.0
24.332257117698855,0.0
24.361608453184623,0.0
24.390959788670386,0.0
24.42031112415615,0.0
24.449662459641914,0.0
24.47901379512768,0.0
24.508365130613445,0.0
24.53771646609921,0.0
24.567067801584972,0.0
24.59641913707074,0.0
24.625770472556503,0.0
24.655121808042267,0.0
24.68447314352803,0.0
24.713824479013798,0.0
24.743175814499562,0.0
24.772527149985326,0.0
24.801878485471086,0.0
24.831229820956857,0.0
24.86058115644262,0.0
24.88993249192838,0.0
24.91928382741415,0.0
24.948635162899915,0.0
24.977986498385675,0.0
25.00733783387144,0.0
25.036689169357206,0.0
25.06604050484297,0.0
25.095391840328734,0.0
25.1247431758145,0.0
25.15409451130026,0.0
25.18344584678603,0.0
25.212797182271796,0.0
25.242148517757556,0.0
25.271499853243323,0.0
25.30085118872909,0.0
25.33020252421485,0.0
25.35955385970062,0.0
25.38890519518638,0.0
25.418256530672146,0.0
25.447607866157913,0.0
25.476959201643673,0.0
25.50631053712944,0.0
25.535661872615208,0.0
25.565013208100968,0.0
25.594364543586735,0.0
25.623715879072495,0.0
25.653067214558263,0.0
25.68241855004403,0.0
25.71176988552979,0.0
25.741121221015558,0.0
25.770472556501325,0.0
25.799823891987085,0.0
25.829175227472852,0.0
25.85852656295862,0.0
25.88787789844438,0.0
25.917229233930147,0.0
25.946580569415907,0.0
25.975931904901675,0.0
26.005283240387442,0.0
26.034634575873202,0.0
26.06398591135897,0.0
26.093337246844737,0.0
26.122688582330497,0.0
26.152039917816264,0.0
26.18139125330203,0.0
26.21074258878779,0.0
26.24009392427356,0.0
26.269445259759316,0.0
26.298796595245086,0.0
26.328147930730854,0.0
26.35749926621661,0.0
26.38685060170238,0.0
26.41620193718815,0.0
26.445553272673905,0.0
26.474904608159676,0.0
26.504255943645443,0.0
26.5336072791312,0.0
26.56295861461697,0.0
26.592309950102727,0.0
26.621661285588495,0.0
26.651012621074262,0.0
26.680363956560022,0.0
26.70971529204579,0.0
26.739066627531557,0.0
26.768417963017317,0.0
26.797769298503084,0.0
26.827120633988848,0.0
26.85647196947461,0.0
26.88582330496038,0.0
26.91517464044614,0.0
26.944525975931906,0.0
26.973877311417674,0.0
27.003228646903434,0.0
27.0325799823892,0.0
27.061931317874965,0.0
27.09128265336073,0.0
27.120633988846496,0.0
27.14998532433226,0.0
27.179336659818023,0.0
27.20868799530379,0.0
27.23803933078955,0.0
27.26739066627532,0.0
27.296742001761082,0.0
27.326093337246846,0.0
27.355444672732613,0.0
27.384796008218377,0.0
27.41414734370414,0.0
27.443498679189908,0.0
27.47285001467567,0.0
27.502201350161435,0.0
27.531552685647203,0.0
27.560904021132963,0.0
27.59025535661873,0.0
27.619606692104494,0.0
27.648958027590258,0.0
27.678309363076025,0.0
27.70766069856179,0.0
27.737012034047552,0.0
27.76636336953332,0.0
27.795714705019076,0.0
27.825066040504847,0.0
27.854417375990607,0.0
27.88376871147637,0.0
27.913120046962142,0.0
27.942471382447902,0.0
27.971822717933666,0.0
28.001174053419437,0.0
28.030525388905197,0.0
28.05987672439096,0.0
28.089228059876724,0.0
28.118579395362488,0.0
28.147930730848255,0.0
28.17728206633402,0.0
28.206633401819783,0.0
28.23598473730555,0.0
28.265336072791314,0.0
28.294687408277078,0.0
28.32403874376284,0.0
28.35339007924861,0.0
28.382741414734372,0.0
28.412092750220136,0.0
28.4414440857059,0.0
28.470795421191667,0.0
28.50014675667743,0.0
28.529498092163195,0.0
28.55884942764896,0.0
28.588200763134726,0.0
28.61755209862049,0.0
28.646903434106253,0.0
28.67625476959202,0.0
28.705606105077784,0.0
28.734957440563548,0.0
28.76430877604931,0.0
28.793660111535075,0.0
28.823011447020843,0.0
28.852362782506606,0.0
28.88171411799237,0.0
28.911065453478137,0.0
28.9404167889639,0.0
28.969768124449665,0.0
28.999119459935432,0.0
29.02847079542119,0.0
29.05782213090696,0.0
29.087173466392723,0.0
29.116524801878484,0.0
29.145876137364255,0.0
29.17522747285002,0.0
29.20457880833578,0.0
29.23393014382155,0.0
29.263281479307306,0.0
29.292632814793073,0.0
29.321984150278844,0.0
29.3513354857646,0.0
29.380686821250368,0.0
29.41003815673613,0.0
29.439389492221895,0.0
29.468740827707663,0.0
29.498092163193423,0.0
29.52744349867919,0.0
29.556794834164958,0.0
29.586146169650718,0.0
29.615497505136485,0.0
29.644848840622252,0.0
29.674200176108013,0.0
29.70355151159378,0.0
29.73290284707954,0.0
29.762254182565307,0.0
29.791605518051075,0.0
29.820956853536835,0.0
29.850308189022602,0.0
29.87965952450837,0.0
29.90901085999413,0.0
29.938362195479897,0.0
29.967713530965664,0.0
29.997064866451424,0.0
30.02641620193719,0.0
30.055767537422952,0.0
30.08511887290872,0.0
30.114470208394486,0.0
30.143821543880247,0.0
30.173172879366014,0.0
30.20252421485178,0.0
30.23187555033754,0.0
30.26122688582331,0.0
30.290578221309065,0.0
30.319929556794836,0.0
30.349280892280603,0.0
30.37863222776636,0.0
30.40798356325213,0.0
30.437334898737898,0.0
30.466686234223655,0.0
30.496037569709426,0.0
30.525388905195193,0.0
30.55474024068095,0.0
30.58409157616672,0.0
30.613442911652477,0.0
30.642794247138244,0.0
30.672145582624015,0.0
30.701496918109772,0.0
30.73084825359554,0.0
30.76019958908131,0.0
30.789550924567067,0.0
30.818902260052834,0.0
30.848253595538605,0.0
30.87760493102436,0.0
