tau,diff_Eetaalpha2,diff_Eetaalpha2_variance,diff_Eetaalpha2_std,diff_Eetaalpha2_error,N_events
51.56626506024097,0.3744689386085732,6.955878078603319e-06,0.0026373998708203727,0.0018649233333576098,2
51.807228915662655,0.3762568555499752,3.6747829434961326e-06,0.0019169723376971648,0.0013555041393326936,2
52.04819277108433,0.37811550472308086,9.007874368646987e-07,0.0009490982229804767,0.000671113789481597,2
52.289156626506035,0.38000193809943283,4.2640055073978605e-08,0.00020649468534075788,0.00014601379228343226,2
52.53012048192771,0.38187916611435413,2.166663478683817e-06,0.0014719590614836464,0.0010408322340040726,2
52.77108433734939,0.38371993973757645,7.59807608302689e-06,0.002756460789314241,0.0019491121161989231,2
53.01204819277109,0.3855088109468582,1.570309066798027e-05,0.003962712539155505,0.0028020609083298197,2
53.25301204819277,0.3872423495488265,2.494454142831122e-05,0.0049944510637617845,0.0035316102154903236,2
53.493975903614455,0.38892764244628375,3.322684945380344e-05,0.005764273540855208,0.004075956909352909,2
53.73493975903615,0.39057941561576015,3.845445550890724e-05,0.006201165657270191,0.004384886287516886,2
53.975903614457835,0.3922162743455521,3.915042153571928e-05,0.006257029769444866,0.004424388180060565,2
54.216867469879524,0.39385663930762604,3.494658951646169e-05,0.005911564049933121,0.00418010702712632,2
54.457831325301214,0.39551496130460984,2.6780165760386558e-05,0.005174955628832634,0.0036592462174870493,2
54.69879518072289,0.3971987319136009,1.6711970783407878e-05,0.0040880277376025564,0.0028906721349374674,2
54.93975903614458,0.3989066835137557,7.396823108523479e-06,0.0027197101147959646,0.00192312546503387,2
55.18072289156627,0.40062840737888583,1.3501576796216296e-06,0.0011619628563863948,0.0008216318152377102,2
55.42168674698795,0.402345431919896,2.2795934533910203e-07,0.0004774508826456414,0.0003376087568022355,2
55.66265060240964,0.4040336149018835,4.3418468949113445e-06,0.002083709887415075,0.001473405391416657,2
55.90361445783133,0.4056665335263064,1.2562663689452526e-05,0.0035443848111417764,0.0025062585350929503,2
56.144578313253014,0.4072194235180289,2.2645094854915627e-05,0.004758686253044597,0.0033648993190670373,2
56.385542168674704,0.4086731390345969,3.187293653567092e-05,0.005645612148887924,0.003992050634427808,2
56.62650602409639,0.4100175909795801,3.782506326460635e-05,0.0061502083919657835,0.004348854059669417,2
56.867469879518076,0.4112541769965359,3.902952843377953e-05,0.006247361717859751,0.004417551835223868,2
57.108433734939766,0.4123968382300886,3.5317050869897407e-05,0.0059428150627373055,0.004202204830199107,2
57.349397590361455,0.4134715525791328,2.7787626088444608e-05,0.0052713969769354885,0.0037274405487173505,2
57.590361445783145,0.41451427974409577,1.8427694320355047e-05,0.004292749039992327,0.0030354319561106164,2
57.83132530120482,0.41556758199341615,9.517735241412238e-06,0.0030850826960411026,0.00218148289489194,2
58.07228915662651,0.4166763265106539,3.0195053472487563e-06,0.0017376723935335903,0.0012287199329482606,2
58.3132530120482,0.4178830037227389,1.1756682307948978e-07,0.00034288018764502826,0.00024245290581831534,2
58.55421686746988,0.41922325202653093,1.0231217244700798e-06,0.0010114947970553678,0.0007152348301327612,2
58.79518072289157,0.4207221545637493,5.057248686972249e-06,0.002248832738771883,0.0015901648793399143,2
