tau,diff_Eeta,diff_Eeta_variance,diff_Eeta_std,diff_Eeta_error,N_events
14.285714285714286,0.0,0.0,0.0,0.0,1
14.40377804014168,0.0,0.0,0.0,0.0,1
14.52184179456907,0.0,0.0,0.0,0.0,1
14.639905548996456,0.0,0.0,0.0,0.0,1
14.75796930342385,0.0,0.0,0.0,0.0,1
14.876033057851242,0.0,0.0,0.0,0.0,1
14.994096812278633,0.0,0.0,0.0,0.0,1
15.112160566706022,0.0,0.0,0.0,0.0,1
15.230224321133415,0.0,0.0,0.0,0.0,1
15.348288075560806,0.0,0.0,0.0,0.0,1
15.466351829988195,0.0,0.0,0.0,0.0,1
15.584415584415586,0.0,0.0,0.0,0.0,1
15.702479338842977,0.0,0.0,0.0,0.0,1
15.820543093270368,0.0,0.0,0.0,0.0,1
15.938606847697757,0.0,0.0,0.0,0.0,1
16.05667060212515,0.0,0.0,0.0,0.0,1
16.17473435655254,0.0,0.0,0.0,0.0,1
16.29279811097993,0.0,0.0,0.0,0.0,1
16.410861865407323,0.0,0.0,0.0,0.0,1
16.528925619834713,0.0,0.0,0.0,0.0,1
16.646989374262105,0.0,0.0,0.0,0.0,1
16.765053128689495,0.0,0.0,0.0,0.0,1
16.883116883116884,0.0,0.0,0.0,0.0,1
17.001180637544277,0.0,0.0,0.0,0.0,1
17.119244391971666,0.0,0.0,0.0,0.0,1
17.23730814639906,0.0,0.0,0.0,0.0,1
17.355371900826448,0.0,0.0,0.0,0.0,1
17.47343565525384,0.0,0.0,0.0,0.0,1
17.59149940968123,0.0,0.0,0.0,0.0,1
17.70956316410862,0.0,0.0,0.0,0.0,1
17.827626918536012,0.0,0.0,0.0,0.0,1
17.9456906729634,0.0,0.0,0.0,0.0,1
18.063754427390794,0.0,0.0,0.0,0.0,1
18.181818181818183,0.0,0.0,0.0,0.0,1
18.299881936245576,0.0,0.0,0.0,0.0,1
18.417945690672965,0.0,0.0,0.0,0.0,1
18.536009445100355,0.0,0.0,0.0,0.0,1
18.654073199527748,0.0,0.0,0.0,0.0,1
18.772136953955137,0.0,0.0,0.0,0.0,1
18.89020070838253,0.0,0.0,0.0,0.0,1
19.00826446280992,0.0,0.0,0.0,0.0,1
19.12632821723731,0.0,0.0,0.0,0.0,1
19.2443919716647,0.0,0.0,0.0,0.0,1
19.36245572609209,0.0,0.0,0.0,0.0,1
19.480519480519483,0.0,0.0,0.0,0.0,1
19.598583234946872,0.0,0.0,0.0,0.0,1
19.716646989374265,0.0,0.0,0.0,0.0,1
19.834710743801654,0.0,0.0,0.0,0.0,1
19.952774498229047,0.0,0.0,0.0,0.0,1
20.070838252656436,0.0,0.0,0.0,0.0,1
20.188902007083826,0.0,0.0,0.0,0.0,1
20.30696576151122,0.0,0.0,0.0,0.0,1
20.425029515938608,0.0,0.0,0.0,0.0,1
20.543093270365997,0.0,0.0,0.0,0.0,1
20.66115702479339,0.0,0.0,0.0,0.0,1
20.77922077922078,0.0,0.0,0.0,0.0,1
20.89728453364817,0.0,0.0,0.0,0.0,1
21.01534828807556,0.0,0.0,0.0,0.0,1
21.13341204250295,0.0,0.0,0.0,0.0,1
21.25147579693034,0.0,0.0,0.0,0.0,1
21.369539551357736,0.0,0.0,0.0,0.0,1
21.487603305785125,0.0,0.0,0.0,0.0,1
21.605667060212514,0.0,0.0,0.0,0.0,1
21.723730814639907,0.0,0.0,0.0,0.0,1
21.841794569067297,0.0,0.0,0.0,0.0,1
21.95985832349469,0.0,0.0,0.0,0.0,1
22.07792207792208,0.0,0.0,0.0,0.0,1
22.195985832349468,0.0,0.0,0.0,0.0,1
22.31404958677686,0.0,0.0,0.0,0.0,1
22.43211334120425,0.0,0.0,0.0,0.0,1
22.55017709563164,0.0,0.0,0.0,0.0,1
22.668240850059036,0.0,0.0,0.0,0.0,1
22.78630460448642,0.0,0.0,0.0,0.0,1
22.90436835891381,0.0,0.0,0.0,0.0,1
23.022432113341207,0.0,0.0,0.0,0.0,1
23.140495867768596,0.0,0.0,0.0,0.0,1
23.258559622195985,0.0,0.0,0.0,0.0,1
23.376623376623378,0.0,0.0,0.0,0.0,1
23.494687131050767,0.0,0.0,0.0,0.0,1
23.61275088547816,0.0,0.0,0.0,0.0,1
23.73081463990555,0.0,0.0,0.0,0.0,1
23.84887839433294,0.0,0.0,0.0,0.0,1
23.96694214876033,0.0,0.0,0.0,0.0,1
24.08500590318772,0.0,0.0,0.0,0.0,1
24.20306965761511,0.0,0.0,0.0,0.0,1
24.321133412042506,0.0,0.0,0.0,0.0,1
24.4391971664699,0.0,0.0,0.0,0.0,1
24.557260920897285,0.0,0.0,0.0,0.0,1
24.675324675324678,0.0,0.0,0.0,0.0,1
24.79338842975207,0.0,0.0,0.0,0.0,1
24.911452184179456,0.0,0.0,0.0,0.0,1
25.029515938606853,0.0,0.0,0.0,0.0,1
25.147579693034242,0.0,0.0,0.0,0.0,1
