tau,diff_Eeta
59.740259740259745,0.0
59.858323494687134,0.0
59.97638724911453,0.0
60.09445100354192,0.0
60.21251475796931,0.0
60.3305785123967,0.0
60.44864226682409,0.0
60.56670602125147,0.0
60.68476977567888,0.0
60.80283353010627,0.0
60.92089728453366,0.0
61.03896103896105,0.0
61.15702479338844,0.0
61.275088547815834,0.0
61.39315230224322,0.0
61.51121605667061,0.0
61.629279811098,0.0
61.74734356552539,0.0
61.86540731995278,0.0
61.983471074380176,0.0
62.101534828807566,0.0
62.219598583234955,0.0
62.337662337662344,0.0
62.45572609208973,0.0
62.57378984651712,0.0
62.69185360094452,0.0
62.80991735537191,0.0
62.9279811097993,0.0
63.04604486422669,0.0
63.164108618654076,0.0
63.28217237308147,0.0
63.40023612750886,0.0
63.51829988193625,0.0
63.63636363636364,0.0
63.75442739079103,0.0
63.87249114521842,0.0
63.99055489964582,0.0
64.10861865407321,0.0
64.2266824085006,0.0
64.34474616292799,0.0
64.46280991735537,0.0
64.58087367178277,0.0
64.69893742621016,0.0
64.81700118063755,0.0
64.93506493506494,0.0
65.05312868949233,0.0
65.17119244391972,0.0
65.28925619834712,0.0
65.40731995277451,0.0
65.5253837072019,0.0
65.6434474616293,0.0
65.76151121605668,0.0
65.87957497048407,0.0
65.99763872491147,0.0
66.11570247933885,0.0
66.23376623376625,0.0
66.35182998819363,0.0
66.46989374262103,0.0
66.58795749704842,0.0
66.7060212514758,0.0
66.8240850059032,0.0
66.94214876033058,0.0
67.06021251475798,0.0
67.17827626918536,0.0
67.29634002361276,0.0
67.41440377804015,0.0
67.53246753246754,0.0
67.65053128689493,0.0
67.76859504132231,0.0
67.88665879574971,0.0
68.0047225501771,0.0
68.12278630460449,0.0
68.24085005903189,0.0
68.35891381345927,0.0
68.47697756788666,0.0
68.59504132231406,0.0
68.71310507674146,0.0
68.83116883116884,0.0
68.94923258559623,0.0
69.06729634002362,0.0
69.18536009445101,0.0
69.30342384887841,0.0
69.42148760330579,0.0
69.53955135773319,0.0
69.65761511216057,0.0
69.77567886658797,0.0
69.89374262101536,0.0
70.01180637544275,0.0
70.12987012987014,0.0
70.24793388429752,0.0
70.36599763872492,0.0
70.4840613931523,0.0
70.6021251475797,0.0
70.7201889020071,0.0
70.83825265643448,0.0
70.95631641086187,0.0
71.07438016528926,0.0
71.19244391971665,0.0
71.31050767414405,0.0
71.42857142857143,0.0
71.54663518299883,0.0
71.66469893742621,0.0
71.7827626918536,0.0
71.900826446281,0.0
72.0188902007084,0.0
72.13695395513578,0.0
72.25501770956318,0.0
72.37308146399056,0.0
72.49114521841796,0.0
72.60920897284535,0.0
72.72727272727273,0.0
72.84533648170013,0.0
72.96340023612751,0.0
73.08146399055491,0.0
73.1995277449823,0.0
73.31759149940969,0.0
73.43565525383708,0.0
73.55371900826447,0.0
73.67178276269186,0.0
73.78984651711924,0.0
73.90791027154664,0.0
74.02597402597404,0.0
74.14403778040142,0.0
74.26210153482882,0.0
74.3801652892562,0.0
74.4982290436836,0.0
74.61629279811099,0.0
74.73435655253837,0.0
74.85242030696577,0.0
74.97048406139315,0.0
75.08854781582055,0.0
75.20661157024794,0.0
75.32467532467534,0.0
75.44273907910272,0.0
75.56080283353012,0.0
75.6788665879575,0.0
75.7969303423849,0.0
75.9149940968123,0.0
76.03305785123968,0.0
76.15112160566707,0.0
76.26918536009445,0.0
76.38724911452185,0.0
76.50531286894925,0.0
76.62337662337663,0.0
76.74144037780403,0.0
76.85950413223141,0.0
76.9775678866588,0.0
77.09563164108619,0.0
77.21369539551358,0.0
77.33175914994098,0.0
77.44982290436836,0.0
77.56788665879576,0.0
77.68595041322314,0.0
77.80401416765054,0.0
77.92207792207793,0.0
78.04014167650533,0.0
78.15820543093271,0.0
78.2762691853601,0.0
78.39433293978749,0.0
78.51239669421489,0.0
78.63046044864228,0.0
78.74852420306966,0.0
78.86658795749706,0.0
78.98465171192444,0.0
79.10271546635184,0.0
79.22077922077924,0.0
79.33884297520662,0.0
79.45690672963401,0.0
79.5749704840614,0.0
79.69303423848879,0.0
79.81109799291619,0.0
79.92916174734357,0.0
80.04722550177097,0.0
80.16528925619835,0.0
80.28335301062575,0.0
80.40141676505313,0.0
80.51948051948052,0.0
80.63754427390792,0.0
80.7556080283353,0.0
80.8736717827627,0.0
80.99173553719008,0.0
81.10979929161746,0.0
81.22786304604487,0.0
81.34592680047227,0.0
81.46399055489965,0.0
81.58205430932705,0.0
81.70011806375443,0.0
81.81818181818183,0.0
81.93624557260921,0.0
82.0543093270366,0.0
82.17237308146399,0.0
82.29043683589138,0.0
82.40850059031877,0.0
82.52656434474618,0.0
82.64462809917356,0.0
82.76269185360096,0.0
82.88075560802834,0.0
82.99881936245573,0.0
83.11688311688312,0.0
83.23494687131051,0.0
83.3530106257379,0.0
83.47107438016529,0.0
83.58913813459267,0.0
83.70720188902007,0.0
83.82526564344747,0.0
83.94332939787486,0.0
84.06139315230224,0.0
84.17945690672964,0.0
84.29752066115702,0.0
84.41558441558442,0.0
84.5336481700118,0.0
84.6517119244392,0.0
84.76977567886658,0.0
84.88783943329398,0.0
85.00590318772136,0.0
85.12396694214877,0.0
85.24203069657617,0.0
85.36009445100355,0.0
85.47815820543094,0.0
85.59622195985833,0.0
85.71428571428572,0.0
85.8323494687131,0.0
85.9504132231405,0.0
86.06847697756788,0.0
